거주자우선주차구획번호,거주자우선주차구획위도,거주자우선주차구획경도,거주자우선주차구역명,소재지지번주소,운영형태,사용시간대정보,사용기간,이용요금,이용요금결제방법,이용요금환불안내정보,정기접수시작일자,정기접수종료일자,신청방법,신청서류,관리기관전화번호,관리기관명,데이터기준일자,행정동
34-2421,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2409,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2410,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2411,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2412,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2413,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2414,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2403,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2404,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2405,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2406,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2407,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2408,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2397,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2398,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2399,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2400,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2401,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2402,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2391,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2392,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2393,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2394,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2395,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2396,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2385,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2386,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2387,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2388,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2389,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2390,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2379,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2380,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2381,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2382,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2383,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2384,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2372,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2373,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2375,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2376,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2377,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2378,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2366,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2367,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2368,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2369,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2370,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2371,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2360,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2361,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2362,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2363,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2364,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2365,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2354,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2355,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2356,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2357,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2358,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2359,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2348,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2349,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2350,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2351,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2352,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2353,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2342,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2343,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2344,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2345,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2346,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2347,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2336,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2337,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2338,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2339,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2340,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-2341,0.0,0.0,델타3 재직자 (임시-16호)자투리,경기 수원시 권선구 고색동 1100,전일,24시간,분기별,30000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-1856,37.2378,126.986,델타3단지 4공영주차장(임시)(18,경기 수원시 권선구 고색동 1153,주간,09:00~18:00,분기별,2000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,평동
34-1857,0.0,0.0,델타3단지 4공영주차장(임시)(18,경기 수원시 권선구 고색동 1153,주간,09:00~18:00,분기별,2000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-1858,0.0,0.0,델타3단지 4공영주차장(임시)(18,경기 수원시 권선구 고색동 1153,주간,09:00~18:00,분기별,2000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-1859,0.0,0.0,델타3단지 4공영주차장(임시)(18,경기 수원시 권선구 고색동 1153,주간,09:00~18:00,분기별,2000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-1860,0.0,0.0,델타3단지 4공영주차장(임시)(18,경기 수원시 권선구 고색동 1153,주간,09:00~18:00,분기별,2000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
34-1861,0.0,0.0,델타3단지 4공영주차장(임시)(18,경기 수원시 권선구 고색동 1153,주간,09:00~18:00,분기별,2000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,
